age,gender,race,marital_status,occupation,work_class,final_weight,education,education_num,relationship,capital_gain,capital_loss,hours_per_week,native_country,class
"(35, 40)",Male,*,*,Sales,Self-emp-inc,368825,Some-college,10,Husband,0,0,60,United-States,>50K
"(35, 40)",Male,*,*,Craft-repair,Private,200153,HS-grad,9,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Private,290226,HS-grad,9,Not-in-family,0,0,45,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Self-emp-inc,329980,Bachelors,13,Husband,15024,0,50,United-States,>50K
"(35, 40)",Male,*,*,Exec-managerial,Self-emp-inc,180804,HS-grad,9,Husband,0,0,40,United-States,>50K
"(35, 40)",Male,*,*,Prof-specialty,Private,173208,Masters,14,Husband,0,0,25,United-States,<=50K
"(35, 40)",Male,*,*,Other-service,Private,123785,HS-grad,9,Not-in-family,0,0,75,United-States,<=50K
"(35, 40)",Male,*,*,Prof-specialty,Private,156667,Bachelors,13,Husband,0,1902,50,United-States,>50K
"(35, 40)",Male,*,*,Craft-repair,Private,193026,Some-college,10,Not-in-family,0,0,40,Iran,<=50K
"(35, 40)",Male,*,*,Other-service,Private,223004,Some-college,10,Own-child,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Prof-specialty,Private,199352,Prof-school,15,Husband,0,1977,80,United-States,>50K
"(35, 40)",Male,*,*,Transport-moving,Private,29984,12th,8,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,132879,HS-grad,9,Husband,0,1902,40,United-States,>50K
"(35, 40)",Male,*,*,Craft-repair,Private,215310,HS-grad,9,Husband,0,0,50,United-States,>50K
"(35, 40)",Male,*,*,Craft-repair,Private,412296,HS-grad,9,Own-child,0,0,28,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Self-emp-inc,218184,9th,5,Husband,0,1651,40,Mexico,<=50K
"(35, 40)",Male,*,*,Sales,Self-emp-inc,289430,Masters,14,Husband,0,0,45,Mexico,>50K
"(35, 40)",Male,*,*,Adm-clerical,State-gov,60227,Bachelors,13,Not-in-family,0,0,38,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,51100,Some-college,10,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Tech-support,Private,112497,Bachelors,13,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Transport-moving,Private,89508,HS-grad,9,Husband,0,0,50,United-States,>50K
"(35, 40)",Male,*,*,Adm-clerical,Federal-gov,250504,HS-grad,9,Husband,0,0,60,United-States,>50K
"(35, 40)",Male,*,*,Prof-specialty,Private,416745,Bachelors,13,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Transport-moving,Private,33886,HS-grad,9,Husband,0,0,60,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,166497,Bachelors,13,Not-in-family,0,0,35,United-States,<=50K
"(35, 40)",Male,*,*,Sales,Private,79619,Bachelors,13,Husband,0,0,42,United-States,>50K
"(35, 40)",Male,*,*,Machine-op-inspct,Private,135289,HS-grad,9,Husband,0,0,45,United-States,<=50K
"(35, 40)",Male,*,*,Adm-clerical,Private,203070,Some-college,10,Own-child,0,0,62,United-States,<=50K
"(35, 40)",Male,*,*,Prof-specialty,Private,200818,Prof-school,15,Husband,0,0,40,United-States,>50K
"(35, 40)",Male,*,*,Prof-specialty,Private,354078,Bachelors,13,Husband,0,0,60,United-States,>50K
"(35, 40)",Male,*,*,Prof-specialty,Private,33975,Masters,14,Not-in-family,0,0,45,United-States,>50K
"(35, 40)",Male,*,*,Other-service,Local-gov,165799,Some-college,10,Not-in-family,0,0,12,United-States,<=50K
"(35, 40)",Male,*,*,Adm-clerical,State-gov,136137,Some-college,10,Not-in-family,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Prof-specialty,Private,189623,Bachelors,13,Husband,0,1887,40,United-States,>50K
"(35, 40)",Male,*,*,Adm-clerical,Private,387430,Some-college,10,Husband,0,0,37,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Private,37238,Bachelors,13,Not-in-family,0,0,45,United-States,<=50K
"(35, 40)",Male,*,*,Transport-moving,Private,278403,HS-grad,9,Husband,0,0,65,United-States,<=50K
"(35, 40)",Male,*,*,Handlers-cleaners,Private,113397,HS-grad,9,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Prof-specialty,Self-emp-not-inc,180686,Prof-school,15,Husband,0,0,50,United-States,<=50K
"(35, 40)",Male,*,*,Machine-op-inspct,Private,32668,Bachelors,13,Husband,0,0,43,United-States,>50K
"(35, 40)",Male,*,*,Prof-specialty,Private,119098,Doctorate,16,Husband,7298,0,40,United-States,>50K
"(35, 40)",Male,*,*,Adm-clerical,Private,83893,HS-grad,9,Husband,0,0,40,United-States,>50K
"(35, 40)",Male,*,*,Prof-specialty,Private,174938,Bachelors,13,Not-in-family,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,State-gov,34180,Some-college,10,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,191161,Some-college,10,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Sales,Private,191161,HS-grad,9,Not-in-family,0,0,50,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Self-emp-not-inc,137314,HS-grad,9,Husband,0,0,60,United-States,<=50K
"(35, 40)",Male,*,*,Sales,Private,349116,HS-grad,9,Not-in-family,0,0,44,United-States,<=50K
"(35, 40)",Male,*,*,Transport-moving,Private,143912,HS-grad,9,Not-in-family,0,0,50,United-States,<=50K
"(35, 40)",Male,*,*,Prof-specialty,Private,24342,Bachelors,13,Husband,0,0,40,United-States,>50K
"(35, 40)",Male,*,*,Protective-serv,State-gov,211115,Some-college,10,Not-in-family,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Private,336595,HS-grad,9,Husband,0,0,50,United-States,>50K
"(35, 40)",Male,*,*,Craft-repair,Private,27997,Assoc-voc,11,Not-in-family,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Transport-moving,Private,51100,HS-grad,9,Husband,0,0,40,United-States,>50K
"(35, 40)",Male,*,*,Craft-repair,Private,67728,Some-college,10,Husband,0,2051,45,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Private,175232,Masters,14,Unmarried,0,0,60,United-States,>50K
"(35, 40)",Male,*,*,Exec-managerial,Self-emp-not-inc,105021,Some-college,10,Husband,0,0,55,United-States,>50K
"(35, 40)",Male,*,*,Exec-managerial,Self-emp-inc,395831,Bachelors,13,Husband,0,0,80,United-States,>50K
"(35, 40)",Male,*,*,Prof-specialty,Self-emp-inc,217054,Bachelors,13,Husband,0,0,35,United-States,>50K
"(35, 40)",Male,*,*,Other-service,Private,265954,HS-grad,9,Not-in-family,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Protective-serv,Local-gov,203070,HS-grad,9,Not-in-family,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Adm-clerical,Private,180342,Bachelors,13,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Farming-fishing,Self-emp-not-inc,257250,HS-grad,9,Not-in-family,0,0,52,United-States,<=50K
"(35, 40)",Male,*,*,Adm-clerical,Private,128715,HS-grad,9,Not-in-family,10520,0,40,United-States,>50K
"(35, 40)",Male,*,*,Other-service,Self-emp-not-inc,322143,Bachelors,13,Husband,0,0,10,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,379350,10th,6,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Transport-moving,Local-gov,107513,HS-grad,9,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Other-service,Private,328466,11th,7,Husband,2407,0,70,Mexico,<=50K
"(35, 40)",Male,*,*,Machine-op-inspct,Private,405723,1st-4th,2,Husband,0,0,40,Mexico,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Private,119272,Bachelors,13,Husband,0,0,55,United-States,>50K
"(35, 40)",Male,*,*,Craft-repair,Self-emp-not-inc,136028,9th,5,Husband,0,0,30,United-States,<=50K
"(35, 40)",Male,*,*,Sales,Private,107991,11th,7,Not-in-family,0,0,45,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Private,188540,HS-grad,9,Husband,0,1902,45,United-States,>50K
"(35, 40)",Male,*,*,Exec-managerial,Private,171150,HS-grad,9,Husband,0,1887,50,United-States,>50K
"(35, 40)",Male,*,*,Handlers-cleaners,Private,123606,Some-college,10,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Machine-op-inspct,Private,168817,HS-grad,9,Not-in-family,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Sales,Private,156728,Bachelors,13,Husband,0,0,40,United-States,>50K
"(35, 40)",Male,*,*,Sales,Private,30381,Bachelors,13,Husband,0,0,45,United-States,>50K
"(35, 40)",Male,*,*,Transport-moving,Private,187069,HS-grad,9,Husband,0,0,45,United-States,<=50K
"(35, 40)",Male,*,*,Sales,Private,86551,Bachelors,13,Not-in-family,0,0,48,United-States,>50K
"(35, 40)",Male,*,*,Other-service,Private,239755,Bachelors,13,Not-in-family,0,0,38,United-States,<=50K
"(35, 40)",Male,*,*,Transport-moving,Private,304651,HS-grad,9,Not-in-family,0,0,60,United-States,<=50K
"(35, 40)",Male,*,*,Sales,Private,31033,Bachelors,13,Husband,7298,0,40,United-States,>50K
"(35, 40)",Male,*,*,Exec-managerial,Private,272950,HS-grad,9,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Private,238415,Bachelors,13,Husband,0,0,50,United-States,>50K
"(35, 40)",Male,*,*,Exec-managerial,Private,79331,Masters,14,Husband,15024,0,40,United-States,>50K
"(35, 40)",Male,*,*,Prof-specialty,Self-emp-inc,112847,Prof-school,15,Husband,0,0,40,United-States,>50K
"(35, 40)",Male,*,*,Exec-managerial,Private,183898,Assoc-voc,11,Husband,7298,0,50,United-States,>50K
"(35, 40)",Male,*,*,Protective-serv,Local-gov,72338,HS-grad,9,Husband,0,0,54,United-States,>50K
"(35, 40)",Male,*,*,Craft-repair,Private,179271,Some-college,10,Husband,0,0,50,United-States,>50K
"(35, 40)",Male,*,*,Transport-moving,Private,188834,9th,5,Husband,0,0,50,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,187046,11th,7,Husband,0,0,45,United-States,<=50K
"(35, 40)",Male,*,*,Machine-op-inspct,Private,191807,HS-grad,9,Unmarried,0,0,48,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,324420,1st-4th,2,Husband,0,0,45,Mexico,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,119741,Masters,14,Husband,0,0,40,United-States,>50K
"(35, 40)",Male,*,*,Prof-specialty,Local-gov,255454,Bachelors,13,Unmarried,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Farming-fishing,Private,165186,Some-college,10,Husband,0,0,45,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Private,329980,Masters,14,Husband,0,2415,60,United-States,>50K
"(35, 40)",Male,*,*,Sales,Private,330664,Some-college,10,Not-in-family,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Handlers-cleaners,Local-gov,473547,10th,6,Own-child,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,24106,HS-grad,9,Husband,3103,0,40,United-States,>50K
"(35, 40)",Male,*,*,Sales,Private,379522,Bachelors,13,Husband,0,0,55,United-States,>50K
"(35, 40)",Male,*,*,Craft-repair,Private,82552,HS-grad,9,Unmarried,0,0,35,United-States,<=50K
"(35, 40)",Male,*,*,Sales,Private,192337,Bachelors,13,Not-in-family,0,0,50,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Private,505119,Masters,14,Husband,0,0,40,Cuba,>50K
"(35, 40)",Male,*,*,Prof-specialty,Private,103110,Doctorate,16,Not-in-family,0,0,40,England,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Private,35309,Bachelors,13,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Handlers-cleaners,Private,154410,HS-grad,9,Not-in-family,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Private,83893,Some-college,10,Husband,0,0,40,United-States,>50K
"(35, 40)",Male,*,*,Prof-specialty,State-gov,367237,Assoc-voc,11,Not-in-family,8614,0,40,United-States,>50K
"(35, 40)",Male,*,*,Farming-fishing,Private,103605,11th,7,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Protective-serv,Local-gov,126569,Some-college,10,Husband,0,0,40,United-States,>50K
"(35, 40)",Male,*,*,Exec-managerial,Private,49115,Masters,14,Husband,0,0,60,United-States,>50K
"(35, 40)",Male,*,*,Other-service,Private,123211,HS-grad,9,Husband,0,0,44,United-States,>50K
"(35, 40)",Male,*,*,Sales,Private,410034,Some-college,10,Not-in-family,0,0,50,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,35330,HS-grad,9,Not-in-family,0,1669,55,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,179579,HS-grad,9,Own-child,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,23621,HS-grad,9,Not-in-family,0,0,70,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,277347,HS-grad,9,Husband,0,0,50,United-States,<=50K
"(35, 40)",Male,*,*,Machine-op-inspct,Private,201531,Assoc-acdm,12,Husband,0,0,40,United-States,>50K
"(35, 40)",Male,*,*,Farming-fishing,Self-emp-not-inc,207568,7th-8th,4,Husband,0,0,75,United-States,<=50K
"(35, 40)",Male,*,*,Machine-op-inspct,Private,184659,HS-grad,9,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Sales,Private,178322,Assoc-voc,11,Husband,0,0,50,Germany,>50K
"(35, 40)",Male,*,*,Prof-specialty,State-gov,160402,Bachelors,13,Husband,0,0,55,United-States,>50K
"(35, 40)",Male,*,*,Adm-clerical,Private,184659,Some-college,10,Husband,0,0,52,United-States,<=50K
"(35, 40)",Male,*,*,Prof-specialty,Federal-gov,338320,Prof-school,15,Husband,0,1977,50,United-States,>50K
"(35, 40)",Male,*,*,Exec-managerial,Local-gov,123983,Bachelors,13,Unmarried,0,1741,40,Vietnam,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,105017,HS-grad,9,Unmarried,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Private,77146,Bachelors,13,Husband,0,1887,50,United-States,>50K
"(35, 40)",Male,*,*,Craft-repair,Private,200863,Some-college,10,Unmarried,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Transport-moving,Private,199288,11th,7,Not-in-family,0,0,90,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Private,116358,Masters,14,Husband,0,0,40,Taiwan,>50K
"(35, 40)",Male,*,*,Tech-support,Self-emp-not-inc,64875,Assoc-voc,11,Husband,0,0,60,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Private,82521,Bachelors,13,Husband,15024,0,40,United-States,>50K
"(35, 40)",Male,*,*,Craft-repair,Private,183892,Some-college,10,Husband,7298,0,44,United-States,>50K
"(35, 40)",Male,*,*,Handlers-cleaners,Private,758700,9th,5,Husband,3781,0,50,Mexico,<=50K
"(35, 40)",Male,*,*,Protective-serv,State-gov,166606,HS-grad,9,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Farming-fishing,Private,65390,Bachelors,13,Husband,0,0,50,United-States,<=50K
"(35, 40)",Male,*,*,Adm-clerical,Local-gov,241962,Bachelors,13,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Handlers-cleaners,Private,111387,Some-college,10,Husband,0,1579,40,United-States,<=50K
"(35, 40)",Male,*,*,Prof-specialty,Local-gov,153976,Masters,14,Husband,0,0,40,United-States,>50K
"(35, 40)",Male,*,*,Sales,Private,136343,HS-grad,9,Not-in-family,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Farming-fishing,Self-emp-not-inc,295127,HS-grad,9,Husband,0,0,84,United-States,<=50K
"(35, 40)",Male,*,*,Sales,Private,356250,Prof-school,15,Husband,0,0,35,China,<=50K
"(35, 40)",Male,*,*,Other-service,State-gov,267581,HS-grad,9,Not-in-family,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Handlers-cleaners,Private,63921,5th-6th,3,Husband,0,0,40,Mexico,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,105813,HS-grad,9,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,31069,Assoc-voc,11,Husband,4386,0,40,United-States,>50K
"(35, 40)",Male,*,*,Sales,Private,127772,HS-grad,9,Husband,3103,0,44,United-States,>50K
"(35, 40)",Male,*,*,Sales,Self-emp-inc,329980,Bachelors,13,Husband,0,2415,60,United-States,>50K
"(35, 40)",Male,*,*,Craft-repair,Private,104772,HS-grad,9,Unmarried,0,0,48,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Private,258761,HS-grad,9,Not-in-family,0,0,50,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,174597,Bachelors,13,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Self-emp-not-inc,233533,Some-college,10,Husband,0,0,60,United-States,>50K
"(35, 40)",Male,*,*,Exec-managerial,Private,49626,HS-grad,9,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Exec-managerial,Private,315776,Masters,14,Not-in-family,8614,0,52,United-States,>50K
"(35, 40)",Male,*,*,Exec-managerial,Private,185061,Some-college,10,Husband,0,0,55,United-States,<=50K
"(35, 40)",Male,*,*,Craft-repair,Private,288551,HS-grad,9,Husband,0,0,40,United-States,<=50K
"(35, 40)",Male,*,*,Other-service,Private,407068,5th-6th,3,Husband,0,0,75,Mexico,<=50K
"(35, 40)",Male,*,*,Prof-specialty,Private,284166,Prof-school,15,Not-in-family,0,0,50,United-States,<=50K
"(35, 40)",Male,*,*,Tech-support,Private,211494,HS-grad,9,Husband,0,0,40,United-States,>50K
"(35, 40)",Male,*,*,Sales,Private,144169,HS-grad,9,Husband,0,0,50,United-States,>50K
